gene	mean_log2_cpm_control	mean_log2_cpm_covid19	log2_cpm_difference	p_value	fdr_bh
POMP	3.9225403991003	5.1683858726222445	1.2458454735219444	2.4705151817347876e-05	0.005318456593708861
ELOF1	1.7561354473004336	3.1457998766720507	1.3896644293716172	2.5497785020957954e-05	0.00543527784030087
CASC8	3.7504185663247243	1.614713555300731	-2.135705011023993	2.5807152405771646e-05	0.005447814706395077
HAVCR2	5.122429516494502	6.627276556815162	1.5048470403206604	2.6978664435555913e-05	0.005608121555886781
CDS2	6.031855062634973	6.685739782217465	0.653884719582492	2.7521273586864883e-05	0.005608121555886781
PIP5K1B	8.469376851229356	6.260732984245714	-2.2086438669836417	2.7677594242801677e-05	0.005608121555886781
RPL17	3.752551455408702	6.627694852900858	2.8751433974921565	2.7712314330180006e-05	0.005608121555886781
SNX3	4.871618437723892	6.404110533944827	1.5324920962209356	2.821903276028463e-05	0.005608121555886781
ENOSF1	7.5738679081347895	6.536259504988955	-1.0376084031458346	2.8540800172895582e-05	0.005608121555886781
RPS29	3.2061833791636984	6.403362947887394	3.1971795687236955	2.8575305585989263e-05	0.005608121555886781
OGFR	4.908155012301596	5.877204850554242	0.969049838252646	2.86299725292477e-05	0.005608121555886781
CCNT2-AS1	4.0005094237482846	3.4263060416595543	-0.5742033820887302	2.9361649981954553e-05	0.005700092460336052
ADGRG2	4.580005387509309	3.4176084226822088	-1.1623969648271002	2.9828366601125396e-05	0.005739452876179376
ATP5ME	2.6608473761720615	4.956000833826177	2.295153457654116	3.020376828030253e-05	0.005760706436128227
RAD23B	6.635398564765781	7.440486864189548	0.8050882994237671	3.0816148788969505e-05	0.005826395853204904
RO60	5.1127690356687605	5.894682029969381	0.7819129943006207	3.188124102110759e-05	0.005828962407995205
ARHGDIA	3.1757384466143033	5.958569834790914	2.782831388176611	3.248084000580102e-05	0.005828962407995205
RBX1	5.277784172410918	5.88686264931733	0.6090784769064124	3.280719373345082e-05	0.005828962407995205
PMF1	5.508327992969228	4.73261730214755	-0.7757106908216782	3.2830311818783314e-05	0.005828962407995205
LINC00630	5.355445900282072	4.724938654823332	-0.6305072454587393	3.3013274229195427e-05	0.005828962407995205
PROX1	2.4357223829561065	4.7409394897102475	2.305217106754141	3.316481565836971e-05	0.005828962407995205
ZBTB33	2.074465883160588	3.5214558859777707	1.4469900028171825	3.332470880846018e-05	0.005828962407995205
ATXN1L	2.568492792187397	3.610336214962077	1.0418434227746798	3.3424466340049215e-05	0.005828962407995205
ATP2A1	3.4158676868405533	1.925028345378642	-1.4908393414619112	3.371716222822615e-05	0.005828962407995205
PFN1	2.9765175543802407	5.953472412560146	2.976954858179905	3.3927869125590686e-05	0.005828962407995205
